velocity_ms,range_m,elevation_mil,drift_mil
320,2900.0,158.1,2.9
659,14500.0,1133.7,76.0
453,7100.0,1260.2,113.7
659,12600.0,1207.5,102.6
320,4800.0,285.6,5.6
247,900.0,75.3,1.5
286,5900.0,496.0,11.2
247,3300.0,314.1,6.5
380,2100.0,83.3,1.7
453,6800.0,263.4,6.4
320,5800.0,1184.0,66.2
346,400.0,17.1,0.3
544,11200.0,405.9,11.9
659,10000.0,214.3,6.8
544,10400.0,356.8,10.3
380,9600.0,648.6,17.7
659,5000.0,75.7,2.3
659,14400.0,1138.1,77.1
453,4500.0,150.1,3.6
346,4600.0,239.7,4.8
659,8200.0,154.0,4.8
320,6300.0,413.1,8.7
286,5400.0,1123.2,53.5
380,4100.0,181.6,3.8
453,6200.0,231.3,5.5
659,17300.0,952.1,46.3
659,14300.0,417.6,13.9
380,8500.0,1070.0,49.4
544,12800.0,524.2,16.2
380,5400.0,1286.9,129.4
659,11800.0,1232.9,119.3
286,5200.0,1146.4,57.8
346,7500.0,470.3,10.8
544,14100.0,672.4,22.9
659,14000.0,1155.2,81.9
453,7200.0,285.8,7.0
380,3200.0,135.1,2.8
320,800.0,40.3,0.7
453,3000.0,89.8,2.1
286,5100.0,394.0,8.4
453,11800.0,731.3,23.2
659,2000.0,25.5,0.7
320,1900.0,99.6,1.8
544,10500.0,1187.3,86.2
320,7100.0,1050.0,43.1
320,7800.0,936.9,32.0
659,12200.0,1220.6,110.3
346,7400.0,459.8,10.5
286,4000.0,1260.7,99.1
320,2400.0,128.3,2.3
544,8100.0,1279.3,155.3
320,5500.0,340.8,6.9
659,14800.0,448.5,15.1
346,6600.0,385.2,8.4
544,9100.0,285.8,8.1
320,4100.0,235.5,4.5
453,6300.0,236.5,5.7
247,200.0,16.4,0.3
286,3500.0,243.0,4.8
453,9100.0,1153.2,68.6
544,13900.0,951.2,42.7
659,11700.0,1235.9,121.8
380,1000.0,37.0,0.8
453,7400.0,297.4,7.3
659,12600.0,325.8,10.6
346,1800.0,82.4,1.6
453,6600.0,1281.1,135.7
453,9700.0,453.9,11.9
659,1100.0,13.4,0.4
453,4900.0,167.9,4.0
453,5400.0,191.3,4.6
659,16900.0,991.1,50.8
659,13100.0,1190.0,94.3
544,4300.0,95.5,2.6
453,6500.0,247.1,5.9
659,5100.0,77.7,2.3
380,8800.0,1038.0,45.1
453,8300.0,352.8,8.8
380,9900.0,756.3,22.7
380,7200.0,1179.1,70.3
659,9800.0,206.9,6.6
380,8000.0,1116.4,56.7
453,11600.0,906.1,34.6
659,13300.0,361.5,11.9
380,5200.0,1296.2,143.1
286,1800.0,116.0,2.2
659,5900.0,94.6,2.9
380,9200.0,578.7,14.9
453,11300.0,957.3,39.2
544,9500.0,1230.2,105.9
544,10900.0,1168.2,79.9
659,7700.0,139.5,4.3
320,2800.0,152.1,2.8
346,7000.0,420.7,9.4
544,4200.0,92.6,2.5
544,9900.0,328.3,9.4
346,7200.0,1117.0,55.1
544,1400.0,25.7,0.7
659,12800.0,335.7,11.0
659,6700.0,113.3,3.5
453,6300.0,1292.4,153.7
453,3400.0,104.8,2.5
544,14400.0,740.7,26.6
453,10500.0,525.6,14.3
453,8400.0,359.4,9.0
286,2100.0,136.9,2.6
544,5200.0,123.3,3.4
346,7700.0,492.4,11.5
380,6100.0,1249.9,97.5
659,10700.0,1263.1,153.8
659,9500.0,196.2,6.2
544,12800.0,1054.8,55.8
544,2700.0,53.7,1.5
320,2200.0,116.7,2.1
286,4600.0,1208.4,73.5
659,9000.0,179.2,5.7
247,3500.0,338.6,7.1
659,5600.0,88.1,2.7
320,4700.0,278.2,5.5
346,6300.0,360.5,7.8
320,7600.0,577.6,13.6
346,8300.0,571.8,14.1
346,6900.0,1144.3,60.2
453,1400.0,37.4,0.9
659,11500.0,274.8,8.9
453,6600.0,252.5,6.1
380,7000.0,1193.2,74.2
247,4700.0,526.5,12.2
247,1500.0,128.6,2.5
659,10300.0,225.6,7.2
380,5600.0,1277.0,118.1
346,6300.0,1193.3,71.9
320,900.0,45.5,0.8
544,1100.0,19.8,0.5
320,3800.0,215.3,4.1
544,3900.0,84.2,2.3
659,11000.0,253.6,8.1
544,10300.0,351.0,10.1
346,3800.0,190.7,3.7
453,10200.0,496.9,13.3
320,7900.0,913.4,30.2
659,5500.0,85.9,2.6
380,2400.0,96.9,2.0
544,6300.0,162.1,4.5
320,6600.0,1108.1,51.1
659,3400.0,46.8,1.4
320,2300.0,122.5,2.2
286,6000.0,511.3,11.6
453,10700.0,546.3,15.1
346,7400.0,1097.4,51.9
453,9300.0,1140.1,65.6
