,,,,
,Charge,Range (M),Elevation (MIL),Drift (MIL)
,5W,6000,"293,7","6,4"
,5W,6100,"300,3","6,5"
,5W,6200,"306,9","6,7"
,5W,6300,"313,6","6,9"
,5W,6400,"320,4",7
,5W,6500,"327,3","7,2"
,5W,6600,"334,3","7,4"
,5W,6700,"341,4","7,6"
,5W,6800,"348,6","7,8"
,5W,6900,"355,9",8
,5W,7000,"363,3","8,2"
,5W,7100,"370,8","8,4"
,5W,7200,"378,4","8,6"
,5W,7300,"386,2","8,8"
,5W,7400,"394,1",9
,5W,7500,"402,2","9,3"
,5W,7600,"410,4","9,5"
,5W,7700,"418,8","9,7"
,5W,7800,"427,3",10
,5W,7900,"436,1","10,2"
,5W,8000,"445,1","10,5"
,5W,8100,"454,3","10,8"
,5W,8200,"463,7","11,1"
,5W,8300,"473,4","11,4"
,5W,8400,"483,4","11,7"
,5W,8500,"493,7",12
,5W,8600,"504,3","12,4"
,5W,8700,"515,3","12,7"
,5W,8800,"526,8","13,1"
,5W,8900,"538,8","13,5"
,5W,9000,"551,4","13,9"
,5W,9100,"564,6","14,4"
,5W,9200,"578,7","14,9"
,5W,9300,"593,9","15,5"
,5W,9400,"610,2","16,1"
,5W,9500,"628,3","16,8"
,5W,9600,"648,6","17,7"
,5W,9700,"672,5","18,7"
,5W,9800,"702,9",20
,5W,9900,"756,3","22,7"
,5W,9900,"812,9","25,8"
,5W,9800,"865,8","29,3"
,5W,9700,"895,8","31,4"
,5W,9600,"919,3","33,3"
,5W,9500,"939,2","34,9"
,5W,9400,"956,9","36,5"
,5W,9300,"972,8",38
,5W,9200,"987,5","39,5"
,5W,9100,"1001,3","40,9"
,5W,9000,"1014,1","42,3"
,5W,8900,"1026,4","43,7"
,5W,8800,1038,"45,1"
,5W,8700,"1049,1","46,5"
,5W,8600,"1059,7","47,9"
,5W,8500,1070,"49,4"
,5W,8400,"1079,9","50,8"
,5W,8300,"1089,4","52,2"
,5W,8200,"1098,7","53,7"
,5W,8100,"1107,7","55,2"
,5W,8000,"1116,4","56,7"
,5W,7900,"1124,9","58,3"
